Title,Developer/Provider,Category,URL,Embed URL (in-app),Description
Prism Match 3D,GamePix,match-3,https://play.gamepix.com/prism-match-3d/,https://play.gamepix.com/prism-match-3d/embed?sid=U274U,"Dive into a mesmerizing 3D cube universe where vibrant prisms challenge your logic and timing. Rotate and explore intricately designed levels while relaxing your mind. Perfect your skills to conquer endless creative stages, offering a refreshing blend of relaxation and mental exercise."
Merge Royal,GamePix,2048,https://play.gamepix.com/merge-royal/,https://play.gamepix.com/merge-royal/embed?sid=U274U,"Dive into Merge Royal, where Solitaire strategy meets 2048 thrill. Effortlessly merge matching cards, aiming for higher numbers while unlocking dazzling visuals. Perfect for relaxing yet challenging gameplay that tests your logic and speed. Can you master the ultimate card puzzle adventure?"
War the Knights,GamePix,battle,https://play.gamepix.com/war-the-knights/,https://play.gamepix.com/war-the-knights/embed?sid=U274U,
Bus Driver Simulator 3D,GamePix,simulation,https://play.gamepix.com/bus-driver-simulator-3d/,https://play.gamepix.com/bus-driver-simulator-3d/embed?sid=U274U,"Experience the thrill of Bus Driver Simulator 3D by navigating iconic cities, conquering diverse terrains, and mastering the art of bus driving. Choose between adrenaline-packed racing or relaxed free mode, and immerse yourself in authentic cityscapes with dynamic traffic and weather for a truly captivating driving adventure."
Three Cups Game,GamePix,memory,https://play.gamepix.com/three-cups-game/,https://play.gamepix.com/three-cups-game/embed?sid=U274U,"Challenge your focus and memory with the Three Cups Game, where precision and strategy meet. Track the elusive cup hiding surprises as the pace intensifies with each level. Unveil secrets and celebrate each win in this deceptively simple, yet profoundly addictive mental adventure. How sharp is your attention?"
Body Drop 3D,GamePix,simulation,https://play.gamepix.com/body-drop-3d/,https://play.gamepix.com/body-drop-3d/embed?sid=U274U,"Experience hilarious ragdoll physics as a resilient crash test dummy in Body Drop 3D. Strategically aim and unleash powerful impacts with limited balls to maximize bone-crunching damage. Explore creative angles, unlock new scenarios, and enjoy the endless cycle of chaos and laughter. Can you outwit gravity?"
Parmesan Partisan,GamePix,arcade,https://play.gamepix.com/parmesan-partisan/,https://play.gamepix.com/parmesan-partisan/embed?sid=U274U,"Step into the shoes of a cheese guardian in Parmesan Partisan, where you must fend off relentless rat invasions with blazing shotgun action. Balance strategy and speed to protect your cheesy realm, wield powerful upgrades, and prove yourself the ultimate hero in this thrilling defense adventure."
Kobadoo Emojis,GamePix,kids,https://play.gamepix.com/kobadoo-emojis/,https://play.gamepix.com/kobadoo-emojis/embed?sid=U274U,"Kobadoo Emojis invites you into a delightful memory challenge with amusing emojis to sequence. As you advance, the complexity grows, enhancing your cognitive skills while you enjoy the easy controls. Focus, observe, and test your brain in this engaging and laughter-filled experience."
Hoops & Fruits,GamePix,drawing,https://play.gamepix.com/hoops-and-fruits/,https://play.gamepix.com/hoops-and-fruits/embed?sid=U274U,"Dive into the whimsical world of Hoops & Fruits, where your hoop-tossing skills meet colorful, fruity targets. Engage in addictive drag-and-drop gameplay with charming graphics and a captivating soundtrack, challenging you to master levels and score big by hooping multiple fruits at once."
Turbo Crash Test,GamePix,stickman,https://play.gamepix.com/turbo-dismounting/,https://play.gamepix.com/turbo-dismounting/embed?sid=U274U,"Turbo Dismounting is a thrilling physics-based adventure where players create epic crashes. Propel your stickman through chaotic obstacles, earning rewards to unlock diverse vehicles and challenging levels. Revel in the havoc with unique replays, testing your skills in explosive, adrenaline-fueled gameplay."
